Date,Day,Reactor,SampleID in BioProject PRJNA1197561 (NCBI),Temp (¢XC),pH,ORP (mV),EC (mS/cm),Alkalinity (mg CaCO3/L),Inf Nacl (%),Inf Sucrose (mg/L),Inf aspartic acid (mg/L),Eff Formate (mg/L),Eff Acetate (mg/L),Eff Propionate (mg/L),Eff Isobutyrate (mg/L),Eff Butyrate (mg/L),Eff Isovalerate (mg/L),Eff COD (mg/L),"Gas production (L/day, NTP)",H2 (%),N2 (%),CH4 (%),CO2 (%),DNA Concentration (ng/uL),measured HRT (day),measured ORL(kg-COD/m3/day)
2022/12/25,85,D3,Daughter3_D085,33.06,6.36,-418.18,50.6,1522.95,3.4,2000,0,2.08,52.02,234.32,4.67,0,0.95,550,0.419,0.00E+00,16.66,57.46,25.88,260.1,2,1.12
2022/12/26,86,D3,Daughter3_D086,32.98,6.33,-419.84,51.5,1538.3,3.6,2000,0,1.74,47.87,229.08,4.1,0,0.98,480,0.3987,0.00E+00,17.64,56.21,26.15,245.382,2.01,1.09
2022/12/27,87,D3,Daughter3_D087,32.89,6.32,-417.43,52,1506.65,3.6,2000,0,0.39,41.01,228.93,4.06,0,1.06,520,0.4214,0.00E+00,16.7,56.53,26.76,272.611,2,1.15
2022/12/28,88,D3,Daughter3_D088,33.14,6.31,-403.54,53.3,1492.6,3.6,2000,0,4.41,42.96,272.17,4.27,0,0.94,580,0.312,0.00E+00,20.59,54.93,24.47,282.478,2.04,1.16
2022/12/29,89,D3,Daughter3_D089,33,6.29,-411.48,53,1449.3,3.6,2000,0,0.3,46.07,334.54,4.46,0,1.34,710,0.3725,0.00E+00,20.41,54.49,25.1,263.639,2.12,1.14
2022/12/30,90,D3,Daughter3_D090,33.03,6.27,-412.73,53.7,1499.1,3.6,2000,0,2.8,54.49,261.73,4.09,0,1.46,610,0.288,0.00E+00,18.01,56.21,25.78,290.513,2.1,1.15
2022/12/31,91,D3,Daughter3_D091,33.08,6.27,-406.48,54.7,1435.65,3.8,2000,0,4.56,39.83,330.69,4.51,0.99,4.1,780,0.299,0.00E+00,20.83,54.06,25.11,332.247,2.1,1.16
2023/1/1,92,D3,Daughter3_D092,33.33,6.25,-411.76,55.1,1432.05,3.8,2000,0,2.93,48.42,372.6,5.31,0.84,3.58,810,0.3112,0.00E+00,23.39,53.52,23.09,270.599,2.02,1.14
2023/1/2,93,D3,Daughter3_D093,33.02,6.26,-412,55.5,1427.45,3.8,2000,0,3.25,47.37,365.6,5.19,0.86,3.66,710,0.376,0.00E+00,20.31,54.4,25.28,292.783,2.07,1.13
2023/1/3,94,D3,Daughter3_D094,32.83,6.25,-412,55.9,1399.25,3.8,2000,0,0,56.76,387.72,4.92,0,2.85,750,0.3885,0.00E+00,21.48,54.03,24.48,308.49,2.06,0.89
