sample-id	Operation-day	Date	Salt	Reactor
Daughter2_D067	67	2022/12/7	2.8	Daughter2
Daughter2_D068	68	2022/12/8	2.8	Daughter2
Daughter2_D069	69	2022/12/9	2.8	Daughter2
Daughter2_D070	70	2022/12/10	2.8	Daughter2
Daughter2_D071	71	2022/12/11	3	Daughter2
Daughter2_D072	72	2022/12/12	3	Daughter2
Daughter2_D073	73	2022/12/13	3	Daughter2
Daughter2_D074	74	2022/12/14	3	Daughter2
Daughter2_D075	75	2022/12/15	3	Daughter2
Daughter2_D076	76	2022/12/16	3.2	Daughter2
Daughter2_D077	77	2022/12/17	3.2	Daughter2
Daughter2_D078	78	2022/12/18	3.2	Daughter2
Daughter2_D079	79	2022/12/19	3.2	Daughter2
Daughter2_D080	80	2022/12/20	3.2	Daughter2
Daughter2_D081	81	2022/12/21	3.4	Daughter2
Daughter2_D082	82	2022/12/22	3.4	Daughter2
Daughter2_D083	83	2022/12/23	3.4	Daughter2
Daughter2_D084	84	2022/12/24	3.4	Daughter2
Daughter2_D085	85	2022/12/25	3.4	Daughter2
Daughter2_D086	86	2022/12/26	3.6	Daughter2
Daughter2_D087	87	2022/12/27	3.6	Daughter2
Daughter2_D088	88	2022/12/28	3.6	Daughter2
Daughter2_D089	89	2022/12/29	3.6	Daughter2
Daughter2_D090	90	2022/12/30	3.6	Daughter2
Daughter2_D091	91	2022/12/31	3.8	Daughter2
Daughter2_D092	92	2023/1/1	3.8	Daughter2
Daughter2_D093	93	2023/1/2	3.8	Daughter2
Daughter2_D094	94	2023/1/3	3.8	Daughter2
Daughter2_D095	95	2023/1/4	3.8	Daughter2
Daughter2_D096	96	2023/1/5	4	Daughter2
Daughter2_D097	97	2023/1/6	4	Daughter2
Daughter2_D098	98	2023/1/7	4	Daughter2
Daughter2_D099	99	2023/1/8	4	Daughter2
Daughter2_D100	100	2023/1/9	4	Daughter2
Daughter2_D101	101	2023/1/10	4	Daughter2
Daughter2_D102	102	2023/1/11	4	Daughter2
Daughter2_D103	103	2023/1/12	4	Daughter2
Daughter2_D104	104	2023/1/13	4	Daughter2
Daughter2_D105	105	2023/1/14	4	Daughter2
Daughter2_D106	106	2023/1/15	4	Daughter2
Daughter2_D107	107	2023/1/16	4	Daughter2
Daughter2_D108	108	2023/1/17	4	Daughter2
Daughter2_D109	109	2023/1/18	4	Daughter2
Daughter2_D110	110	2023/1/19	4	Daughter2
Daughter3_D001	1	2022/10/2	0.2	Daughter3
